Libellé,Densité de population 2020,Potentiel financier 2023,Médiane du revenu disponible par UC 2020,Part des ménages disposant d'au moins une voiture 2020,Part des ménages dont la famille principale est une famille monoparentale 2020,"Part des personnes de 75 ans et plus vivant seules 2020
Ensemble","Part des diplomés du supérieur parmi les 15 ans et plus non scolarisés 2020
Ensemble","Part des non diplomés parmi les 15 ans et plus non scolarisés 2020
Ensemble",Indice de vieillissement 2020,Temps d'accès au chef lieu de proximité,Temps d'accès aux bibliothèques,Temps d'accès aux collèges,"Part des ""cadres et professions intellectuelles supérieures"" dans la population 2020
Ensemble","Part des ""ouvriers"" dans la population 2020
Ensemble",Taux de chômage des 15 ans et plus (RP) 2020,Densité de logements sociaux,Cluster
La Courtète,8.41,41090,17150,92.0,0.0,0.0,35.0,22.5,350,7.136666667,7,30,0.0,0.0,20.0,0.0,4
Coustaussa,11.63,34057,17234,100.0,20.0,0.0,28.6,40.5,130,3.261666667,7,7,0.0,0.0,20.8,0.0,2
Coustouge,12.0,77615,18080,93.3,16.7,52.6,22.6,30.1,165,8.585,3,30,15.5,10.3,15.7,0.0,1
Cruscades,95.44,425987,19740,95.4,7.2,20.0,21.1,28.9,57,3.715,3,7,2.9,15.4,13.1,0.0,2
Cubières-sur-Cinoble,5.73,68024,17724,93.3,11.1,0.0,38.6,31.4,171,9.335,7,15,0.0,14.5,20.6,0.0,4
Cucugnan,7.37,134482,20750,73.8,7.7,100.0,20.2,30.9,130,8.091666667,3,30,0.0,27.7,9.6,0.0,1
Cumiès,10.46,27942,17066,85.0,0.0,0.0,36.4,24.2,150,5.868333333,7,15,0.0,0.0,11.1,0.0,4
Cuxac-Cabardès,36.55,882041,18950,92.7,11.6,46.3,23.4,37.5,144,6.498333333,3,7,5.9,5.3,11.0,9.89,0
Cuxac-d'Aude,187.74,2949275,19800,88.5,10.4,35.6,17.0,35.4,129,5.49,3,15,3.7,12.1,18.8,4.74,2
Davejean,8.53,102225,14430,94.5,9.1,52.6,20.7,38.0,131,20.33166667,3,45,0.0,0.0,30.4,0.0,4
Dernacueillette,5.94,74197,17116,104.0,0.0,0.0,30.2,23.3,433,19.69666667,7,30,0.0,25.0,21.7,0.0,4
La Digne-d'Amont,81.16,193019,23120,93.8,6.9,27.3,24.7,23.8,176,12.43833333,3,15,2.2,6.0,8.0,0.0,2
La Digne-d'Aval,167.83,320312,22130,95.0,8.3,60.0,26.0,23.3,159,10.72833333,3,7,4.2,14.7,8.9,0.0,2
Donazac,21.94,87304,18263,89.1,9.1,0.0,22.5,25.8,108,11.075,7,15,0.0,28.3,15.3,0.0,2
Douzens,51.71,471204,19900,87.8,4.5,33.3,20.3,26.7,98,4.748333333,3,7,6.2,15.6,15.6,0.0,2
Duilhac-sous-Peyrepertuse,7.02,118285,15150,88.0,0.0,0.0,18.1,31.0,132,12.1,3,30,3.5,10.5,23.3,0.0,4
Durban-Corbières,25.14,519553,19190,90.0,10.0,62.5,23.0,32.8,241,16.12166667,3,30,1.8,10.7,16.2,5.69,1
Embres-et-Castelmaure,4.72,158679,19360,92.2,0.0,80.0,24.1,22.6,407,10.27666667,3,30,3.7,0.0,12.1,0.0,1
Escales,46.86,363597,18970,94.2,16.2,50.0,20.5,32.7,121,3.655,3,15,3.7,19.8,21.5,1.79,2
Escouloubre,2.28,392009,17605,82.2,0.0,50.0,24.6,32.3,633,21.87,15,45,6.7,13.3,9.5,0.0,3
Escueillens-et-Saint-Just-de-Bélengard,13.04,108696,17600,98.7,13.3,44.1,29.2,31.5,347,7.036666667,3,15,0.0,17.0,21.4,0.0,2
Espéraza,162.74,1147347,18110,79.1,10.3,56.9,16.0,40.6,275,3.851666667,3,7,2.7,11.2,21.6,11.64,0
Espezel,16.0,208101,19420,94.8,0.0,50.0,26.1,29.8,198,6.75,3,30,5.4,5.4,10.6,1.68,1
Val-du-Faby,24.55,332459,16500,88.2,6.6,33.3,26.0,25.8,194,2.753333333,3,15,4.7,6.6,21.5,0.0,2
Fabrezan,43.89,884909,19420,92.6,7.7,30.1,22.3,24.0,148,3.873333333,3,15,2.8,14.2,13.1,1.02,2
Fajac-en-Val,3.26,40615,17167,80.0,0.0,0.0,37.9,13.8,72,10.98,15,30,10.0,10.0,4.3,0.0,3
Fajac-la-Relenque,14.25,24860,17285,80.0,0.0,0.0,32.4,29.4,73,9.965,15,15,0.0,0.0,4.8,0.0,3
La Fajolle,0.76,46852,16560,140.0,0.0,100.0,50.0,10.0,100,11.87666667,15,45,0.0,0.0,25.0,0.0,3
Fanjeaux,33.7,606222,19390,93.3,5.9,31.0,31.9,27.0,155,6.148333333,3,15,3.3,11.0,12.8,11.11,0
Félines-Termenès,12.89,131021,13690,95.0,0.0,40.0,30.3,29.3,130,16.25833333,3,45,4.5,0.0,31.6,0.0,4
Fendeille,72.94,381835,22190,96.8,6.8,41.3,31.0,21.9,91,4.406666667,7,15,0.9,17.5,10.7,0.0,2
Fenouillet-du-Razès,10.66,57723,17622,76.0,30.0,100.0,15.2,27.3,327,7.61,7,30,0.0,7.5,18.5,0.0,1
Ferrals-les-Corbières,78.75,763757,19660,90.4,10.3,32.3,19.0,32.5,144,3.93,3,15,3.2,12.3,15.7,2.23,2
Ferran,21.16,93987,26660,100.0,0.0,100.0,52.6,18.6,136,4.218333333,7,15,4.9,4.9,5.9,0.0,1
Festes-et-Saint-André,10.74,113972,13660,91.8,9.1,25.0,32.9,21.8,235,14.90666667,3,15,5.9,2.9,24.5,0.0,4
Feuilla,4.56,124772,14540,92.7,0.0,100.0,31.5,28.1,126,9.136666667,7,30,8.5,17.8,15.7,0.0,1
Fitou,36.23,1255367,19530,93.9,9.1,31.0,32.0,24.0,153,6.895,3,30,4.3,7.4,12.5,3.2,4
Fleury,72.42,7592951,20560,89.3,8.4,36.0,20.6,31.8,214,3.12,3,15,3.5,9.1,21.2,4.92,2
Floure,96.94,217626,19090,93.5,11.0,57.1,18.5,28.9,37,3.156666667,3,15,0.0,16.5,17.8,5.76,0
Fontanès-de-Sault,0.95,37972,16442,80.0,100.0,0.0,20.0,20.0,0,16.54833333,15,45,0.0,0.0,50.0,0.0,3
Fontcouverte,56.07,426408,20560,91.7,13.2,49.0,25.2,25.9,118,3.681666667,3,15,5.1,8.4,17.4,0.0,2
Fonters-du-Razès,6.5,67273,17656,85.7,0.0,0.0,24.6,32.3,192,11.99,15,30,0.0,13.3,9.4,0.0,3
Fontiers-Cabardès,53.07,240554,18910,90.0,4.8,30.6,31.0,24.9,105,6.66,3,7,11.1,10.8,14.0,0.0,2
Fontiès-d'Aude,86.16,323889,20570,89.4,14.9,32.6,22.3,24.0,84,6.373333333,3,7,3.6,17.0,10.7,12.82,0
Fontjoncouse,4.79,122184,18180,95.4,0.0,100.0,38.4,23.2,286,11.23833333,7,30,4.4,12.4,30.4,0.0,1
La Force,54.35,175629,21820,97.3,13.6,0.0,25.8,20.1,81,4.271666667,7,15,7.3,22.0,10.3,4.5,2
Fournes-Cabardès,4.1,31234,17234,76.7,0.0,33.3,27.9,37.2,187,14.01666667,15,30,9.8,9.8,22.2,0.0,3
Fourtou,3.86,61324,17707,93.3,0.0,0.0,38.7,21.0,150,13.745,15,30,8.9,0.0,0.0,0.0,3
Fraisse-Cabardès,14.73,62363,19690,86.7,0.0,0.0,32.9,10.6,171,6.936666667,3,7,5.0,14.9,23.9,0.0,2
Fraissé-des-Corbières,11.1,157285,16840,97.7,4.8,23.8,25.0,25.6,210,7.673333333,3,30,2.8,5.5,13.1,0.0,4
Gaja-et-Villedieu,38.32,194369,22110,93.8,13.6,16.7,29.1,25.7,109,8.79,3,7,13.8,19.4,9.9,0.0,2
Gaja-la-Selve,12.04,84448,17210,98.7,0.0,75.0,29.7,19.8,158,13.30166667,3,30,3.4,13.7,11.9,0.0,1
Galinagues,8.45,33289,16931,76.0,60.0,0.0,33.3,30.0,140,7.261666667,7,30,0.0,11.1,7.1,0.0,4
Gardie,27.31,113463,20690,91.7,0.0,33.3,33.3,31.4,136,3.293333333,7,15,4.5,4.5,13.6,0.0,2
Generville,5.58,44611,17302,100.0,0.0,0.0,31.6,26.3,33,12.70833333,7,30,13.2,36.8,7.4,0.0,4
Gincla,6.01,49600,17167,104.0,20.0,0.0,20.5,35.9,300,12.55833333,7,30,14.7,14.7,35.7,0.0,4
Ginestas,159.47,1090122,21250,92.2,6.2,26.7,25.8,25.4,116,4.311666667,3,7,3.8,10.7,15.0,1.9,2
Ginoles,49.11,193617,21710,90.9,3.0,60.0,20.1,27.5,369,10.96333333,7,7,5.4,7.1,9.4,0.0,2
Gourvieille,24.92,48308,17622,94.3,0.0,0.0,40.0,29.2,155,7.503333333,15,15,20.2,7.1,5.1,0.0,3
Gramazie,62.5,64596,19900,102.0,20.0,0.0,22.2,25.6,88,2.186666667,3,15,0.0,31.2,14.0,0.0,2
Granès,18.96,79028,17980,96.7,0.0,0.0,21.2,25.9,211,6.953333333,7,15,10.2,4.5,18.7,0.0,2
Greffeil,6.58,63476,17993,105.0,12.5,0.0,29.3,25.3,200,11.795,3,30,0.0,6.8,18.2,0.0,4
Gruissan,117.55,11042258,20710,90.3,9.0,51.4,25.0,25.7,253,16.63833333,3,7,4.2,7.2,18.1,4.69,2
Homps,195.1,498516,18300,89.9,7.1,40.8,22.5,34.8,125,3.643333333,7,7,9.9,9.9,17.7,8.42,0
Hounoux,16.93,79829,17920,100.0,9.1,0.0,31.1,22.6,127,10.71,3,15,0.0,17.4,16.4,0.0,2
Les Ilhes,13.46,34234,17352,108.0,0.0,33.3,16.3,26.5,383,12.345,7,30,0.0,11.1,11.8,0.0,4
Issel,27.12,402054,21000,93.6,2.2,16.4,31.0,25.4,134,6.948333333,3,15,3.7,12.2,13.5,0.0,2
Jonquières,4.1,40089,17217,92.0,20.0,50.0,29.4,41.2,561,11.555,7,30,0.0,12.2,16.7,0.0,4
Joucou,4.81,59092,16880,75.0,0.0,66.7,17.9,25.0,500,10.75166667,15,30,0.0,14.3,50.0,0.0,3
Labastide-d'Anjou,149.12,914157,21150,92.3,9.3,45.5,24.0,23.8,69,6.116666667,3,15,6.1,15.7,10.9,1.86,2
Labastide-en-Val,7.69,65498,18590,88.9,0.0,100.0,21.3,22.7,227,5.258333333,7,30,0.0,13.3,6.7,13.04,1
Labastide-Esparbairenque,3.64,137291,17352,87.5,0.0,0.0,18.2,41.8,367,17.92333333,7,30,8.5,8.5,12.0,0.0,4
Labécède-Lauragais,20.34,313316,20630,96.9,9.9,40.8,27.8,20.2,144,10.51666667,3,15,1.4,9.6,15.0,0.0,2
Lacombe,11.67,407362,18870,87.8,5.6,16.1,20.0,35.7,148,4.673333333,7,15,6.8,6.8,19.2,0.0,2
Ladern-sur-Lauquet,10.88,170548,20160,89.9,4.2,66.7,32.2,24.3,93,5.395,7,30,2.2,8.8,11.5,0.0,1
Lafage,7.32,70711,18010,111.4,14.3,0.0,30.7,26.7,111,11.93,7,15,8.9,17.9,15.8,0.0,2
Lagrasse,16.89,512264,19220,80.7,15.3,40.8,39.3,22.9,127,10.97833333,3,30,4.3,6.4,8.3,1.93,4
Lairière,4.13,67438,17251,100.0,0.0,0.0,41.5,17.1,150,23.30166667,7,30,0.0,10.6,27.8,0.0,4
Lanet,6.86,80232,17352,105.7,14.3,0.0,29.3,22.4,1200,22.47,3,30,0.0,10.0,0.0,0.0,4
La Palme,62.32,1435322,21350,96.1,4.7,30.8,22.7,24.2,137,5.265,7,15,5.3,8.8,14.8,11.92,0
Laprade,23.43,74440,18930,88.9,11.1,0.0,14.3,29.8,50,11.545,3,30,0.0,18.2,27.3,0.0,4
La Redorte,92.14,897806,18810,91.3,9.4,38.0,20.3,32.5,169,4.495,3,15,2.8,13.4,17.4,0.0,2
Laroque-de-Fa,7.35,160508,14910,90.0,0.0,25.0,20.5,41.7,183,23.02,3,45,0.0,0.0,32.6,0.0,4
Lasbordes,53.12,826253,20870,91.5,9.1,20.4,20.5,30.6,69,4.028333333,3,15,4.7,11.0,12.7,23.12,0
Lasserre-de-Prouille,67.79,159394,19650,93.2,4.1,16.7,23.9,26.4,90,6.365,3,15,6.3,11.3,5.2,0.0,2
Lastours,55.36,162654,18260,93.3,0.0,0.0,22.1,18.0,121,9.485,7,15,0.0,10.9,16.2,17.33,0
Laurabuc,48.88,291272,21170,96.9,2.8,38.1,30.1,21.8,115,7.1,3,15,5.0,12.4,14.0,0.0,2
Laurac,15.63,121560,20600,97.5,12.5,50.0,32.6,19.4,114,7.665,7,15,3.5,7.1,10.5,0.0,2
Lauraguel,86.73,351120,20260,97.4,11.0,35.4,26.2,29.0,103,7.666666667,3,7,4.8,18.7,11.7,7.01,2
Laure-Minervois,25.82,770329,19110,87.4,12.8,45.3,20.5,32.7,172,7.145,3,15,5.0,13.2,16.3,1.63,2
Lavalette,231.6,779546,21580,95.8,5.6,19.3,26.9,23.5,70,2.881666667,3,7,6.1,17.3,11.6,6.13,2
Lespinassière,8.25,92329,16250,84.0,0.0,75.0,34.7,26.3,337,11.87666667,3,30,26.5,0.0,20.8,0.0,1
Leuc,75.44,501122,22840,93.6,18.4,21.5,33.2,16.7,78,3.97,3,15,5.5,9.6,9.1,4.49,2
Leucate,194.52,13754022,20860,87.0,7.5,44.9,22.6,30.5,351,6.468333333,3,30,4.3,8.8,22.1,7.7,0
Lézignan-Corbières,294.9,9490063,18860,84.8,11.7,40.0,18.2,39.6,109,4.801666667,3,7,3.1,12.6,20.0,13.0,0
Lignairolles,5.88,28134,17015,106.7,33.3,0.0,13.5,35.1,340,10.01333333,3,15,0.0,29.5,0.0,0.0,2
Limousis,13.21,69697,19560,85.7,7.1,80.8,22.4,20.6,148,8.34,3,30,0.0,9.1,9.5,0.0,1
Limoux,313.51,9862250,19570,80.5,12.9,41.0,22.0,36.3,147,7.655,3,3,3.8,10.7,17.0,12.28,0
Loupia,54.04,163999,20410,92.0,8.6,66.7,21.3,26.1,110,10.81333333,3,15,5.1,10.2,18.6,0.0,1
La Louvière-Lauragais,12.96,57194,17774,100.0,25.0,0.0,30.0,25.7,200,8.926666667,15,15,14.3,0.0,11.4,0.0,3
Luc-sur-Aude,31.81,198633,19590,96.8,4.4,25.0,30.2,21.2,98,2.941666667,7,7,2.6,10.3,19.3,0.0,2
Luc-sur-Orbieu,114.57,746893,19840,88.5,10.5,46.1,19.1,32.0,112,3.876666667,3,7,3.6,10.3,16.5,0.0,2
Magrie,53.97,299996,21690,92.7,12.2,36.4,26.7,22.6,154,11.6,7,7,3.2,15.8,10.1,0.0,2
Mailhac,54.9,415937,18680,89.6,3.8,37.5,20.9,28.3,76,5.001666667,3,15,2.9,12.7,11.0,0.0,2
Maisons,3.87,76697,17133,80.0,0.0,50.0,20.5,43.2,2000,16.58166667,3,45,0.0,12.8,17.8,0.0,4
Malras,100.95,287407,21570,90.5,10.5,23.6,25.1,26.6,108,11.65,7,7,2.5,16.9,12.7,0.0,2
Malves-en-Minervois,176.84,601915,22890,97.1,5.6,24.1,31.4,26.0,108,3.803333333,3,15,2.9,13.1,15.8,9.95,0
Malviès,50.55,251545,21780,88.0,5.7,15.4,26.4,28.5,109,8.306666667,3,15,9.1,16.3,13.3,0.0,2
Marcorignan,232.09,784686,21120,93.6,6.8,20.3,25.5,23.9,104,2.621666667,3,7,6.6,8.7,15.0,4.87,2
Marquein,14.94,48258,17724,103.3,0.0,0.0,36.1,21.3,83,7.038333333,7,15,18.5,9.3,15.9,0.0,2
Marsa,0.99,55169,16711,100.0,0.0,100.0,33.3,22.2,250,9.611666667,15,30,0.0,0.0,25.0,0.0,3
Marseillette,62.85,399361,19880,93.9,4.5,44.4,18.4,30.3,130,3.99,3,7,3.4,10.1,13.2,4.15,2
Les Martys,15.75,561874,19820,94.7,7.6,42.9,19.7,23.1,95,9.355,3,15,10.2,13.1,21.7,0.0,2
Mas-Cabardès,19.36,316192,20040,90.0,5.6,40.0,18.2,28.7,194,13.495,3,30,3.0,23.8,15.3,2.27,4
Mas-des-Cours,3.31,17373,16779,110.0,0.0,0.0,29.4,5.9,38,10.25166667,15,30,0.0,25.0,7.1,0.0,3
Massac,2.27,42460,16813,90.0,0.0,0.0,18.5,51.9,0,23.36166667,7,30,0.0,0.0,44.4,0.0,4
Mas-Saintes-Puelles,33.62,633860,21370,94.7,5.6,30.3,31.4,20.5,74,6.283333333,3,15,10.4,10.7,8.0,7.77,2
Mayreville,10.28,50370,17791,102.9,28.6,0.0,26.8,22.5,154,9.028333333,15,30,13.3,6.7,28.3,0.0,3
Mayronnes,3.37,44830,17083,120.0,0.0,0.0,28.1,21.9,138,8.193333333,15,30,0.0,0.0,25.0,0.0,3
Mazerolles-du-Razès,18.0,108278,16680,90.0,0.0,100.0,17.4,37.2,166,4.558333333,3,30,3.8,10.8,13.1,0.0,1
Mazuby,2.9,39587,16829,86.7,0.0,0.0,12.5,33.3,300,6.643333333,7,30,0.0,23.8,25.0,0.0,4
Mérial,1.86,43647,16914,86.7,0.0,0.0,25.0,41.7,217,9.638333333,15,30,0.0,14.3,16.7,0.0,3
Mézerville,13.42,59249,18044,100.0,12.5,25.0,28.0,30.5,175,6.693333333,7,15,0.0,11.1,6.5,0.0,2
Miraval-Cabardès,3.78,68188,17234,110.0,25.0,50.0,30.8,23.1,214,12.62166667,7,15,0.0,16.7,26.3,0.0,2
Mirepeisset,144.89,542823,21560,94.3,10.4,30.8,25.2,23.1,97,4.306666667,3,7,4.1,12.4,13.8,0.0,2
Mireval-Lauragais,17.93,179997,22040,92.9,17.6,100.0,37.1,19.6,62,8.116666667,7,15,6.1,22.0,12.6,0.0,1
Missègre,7.97,54422,17352,80.0,0.0,0.0,32.1,35.8,460,18.28333333,3,30,0.0,16.1,27.6,0.0,4
Molandier,12.35,143535,21000,95.2,14.3,20.0,28.0,27.0,114,7.181666667,15,7,4.5,9.1,11.9,0.0,3
Molleville,39.28,64050,22440,102.0,10.0,100.0,28.0,18.0,62,5.593333333,7,15,10.1,0.0,9.2,0.0,1
Montauriol,9.56,55165,17757,91.4,0.0,0.0,18.5,35.4,68,6.106666667,7,15,6.3,11.4,11.6,0.0,2
Montazels,126.65,367524,20570,89.7,7.1,65.9,19.2,33.2,150,2.145,3,3,4.1,6.0,13.7,0.36,2
Montbrun-des-Corbières,31.95,235954,20150,94.2,0.0,0.0,29.4,29.4,115,3.655,3,15,5.3,10.5,9.4,0.0,2
Montclar,15.47,175411,21820,92.9,5.9,33.3,32.9,19.2,162,6.1,3,15,0.0,6.4,13.2,0.0,2
Montferrand,34.86,442724,23540,95.9,8.6,35.2,33.6,19.0,78,4.055,7,15,13.8,6.9,7.1,0.0,2
Montfort-sur-Boulzane,2.7,138769,17892,81.8,0.0,0.0,16.2,32.5,300,15.58166667,15,30,0.0,5.2,18.8,0.0,3
Montgaillard,2.27,79051,16981,84.0,0.0,0.0,19.4,33.3,650,17.92333333,3,30,0.0,0.0,23.8,0.0,4
Montgradail,10.04,23368,17167,100.0,0.0,0.0,18.4,28.9,200,7.976666667,7,30,0.0,20.8,10.7,0.0,4
Monthaut,5.42,24591,16998,113.3,0.0,0.0,33.3,30.3,450,10.67833333,7,30,0.0,0.0,14.3,0.0,4
Montirat,5.45,62648,17521,94.3,14.3,0.0,37.3,27.1,100,9.111666667,7,15,8.3,0.0,14.3,0.0,4
Montjardin,5.88,54723,17757,100.0,14.3,50.0,19.4,32.8,100,2.885,3,3,6.6,0.0,16.2,0.0,2
Montjoi,4.87,48063,17015,100.0,25.0,0.0,38.7,19.4,500,22.78666667,7,30,0.0,0.0,43.8,0.0,4
Val-de-Dagne,14.71,514976,18640,88.9,8.1,43.5,28.5,24.4,173,7.03,3,15,5.4,11.4,9.4,3.46,2
Montmaur,25.38,194355,24980,95.7,11.1,14.3,36.3,21.8,86,7.08,3,15,6.9,16.4,10.4,0.0,2
Montolieu,35.22,620738,20040,89.5,11.5,53.3,32.0,25.7,231,4.683333333,3,15,3.4,6.1,11.5,3.53,2
Montréal,35.98,1423619,19940,90.7,14.8,42.1,28.6,29.0,104,6.671666667,3,7,5.0,10.9,11.7,6.23,2
Montredon-des-Corbières,86.41,1651836,21060,95.3,14.6,19.9,27.3,26.5,116,5.676666667,3,7,3.7,8.5,10.3,3.92,2
Montséret,54.91,398541,21380,92.1,7.6,32.6,32.7,21.1,81,3.805,3,30,6.3,12.3,11.0,0.0,2
Monze,16.76,160186,20620,95.5,0.0,14.7,25.8,23.0,106,8.955,3,15,5.2,15.0,11.7,8.41,2
Moussan,137.16,1152565,22070,94.3,7.3,56.6,29.7,21.6,65,3.783333333,3,15,7.9,10.1,12.9,0.47,2
Moussoulens,51.17,578078,20850,94.4,14.3,44.6,30.0,25.2,81,4.893333333,3,15,9.0,10.2,7.8,7.22,2
